item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names
m2220393510,Yashica fotocamera,"Yashinon 1:2.8 F=4.5C m flitslicht van afga isi (geen lampjes) is gebruikt, lijkt allemaal te werken.",https://images.marktplaats.com/api/v1/listing-mp-p/images/03/03e284ec-73c0-430b-81b9-90f3f4a77133?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220393510,51.952229572854,5.2337720305223,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,sonny
m2220588987,Yashica Me1     Lomografie!,Werkend inclusief batterijen,https://images.marktplaats.com/api/v1/listing-mp-p/images/fa/fa7a2f8c-745b-4f9e-a93b-687594400cc7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220588987,52.666088705599,4.7536376236182,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,R Brink
m2220563853,Analoge camera YASHICA FX-2 met extra lens YASHICA 135 mm,In goede conditie. Alles samen: ziet u laatste foto.,https://images.marktplaats.com/api/v1/listing-mp-p/images/2b/2bcbfa1f-5472-4e6f-a8a7-c7835e263fb6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220563853,50.954692521725,5.8500899231713,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Jean
m2220419894,Bronica S2a complete set in koffer,Een werkelijke schitterende complete set in koffer foto's spreken voor zich... Alles in zeer mooie staat ! Svp serieuze biedin,https://images.marktplaats.com/api/v1/listing-mp-p/images/ab/abecc2af-7c2c-428d-abfc-7265a0318e98?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220419894,52.048550742599,5.6617466897541,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Bert
m2206010247,Pentax 67 body,Pentax 67 body recent volledig nagekeken en onderhouden door aca (amsterdam camera repairs) zie bijgevoegde bon. Inclusief viewfin,https://images.marktplaats.com/api/v1/listing-mp-p/images/ef/ef99059e-9dda-4cdb-9b27-7900208f18f6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2206010247,51.94343498241,4.4699716248056,800.0,Ophalen,Vandaag,Ophalen,Marlike
m2220343886,Pentax espio 738S analoge fotografie,"Af te halen in bellingwolde, verzending in overleg.",https://images.marktplaats.com/api/v1/listing-mp-p/images/57/5772ece2-faea-419f-a1a2-82be6f34d3e8?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220343886,53.118571887362,7.1665087626848,50.0,Verzenden,Vandaag,Verzenden,SGMA
m2220571995,Asahi Pentax ME,"Asahi pentax  met zoomlens panagor auto zoom f35-100mm  1:3.5 Netto camera, werkt goed",https://images.marktplaats.com/api/v1/listing-mp-p/images/cc/ccc0872a-3dc5-422e-a0b4-8edc55f34863?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220571995,53.264495984696,5.7601368223369,0.0,Ophalen,Vandaag,Ophalen,Klaas Span
m2220501014,Pentax en Minolta camera collectie,"Collectie analoge fotocamera's (zoldervondst). Van mijn grootouders geweest, lange tijd op de zolder bewaard. Werking van de c",https://images.marktplaats.com/api/v1/listing-mp-p/images/2e/2efdb77d-1be9-41c2-9bba-fdf649423e69?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220501014,52.365511876671,4.8879166058756,80.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,tomatosoup
m2220391975,Pentax MG Diverse Pentax lenzen,"Update de pentax mg is verkocht  in uitmuntende staat,  pentax mg, in foedraal pentax 50mm 1:2 pentax 40-80mm 1.2.8-4 Pentax 35mm ",https://images.marktplaats.com/api/v1/listing-mp-p/images/03/03b83ecf-170a-4a6d-bdcb-ab811eef5928?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220391975,51.95240970375,4.4677654776388,0.0,Verzenden,Vandaag,Verzenden,schouten/siebel
m2220600152,Pentax Espio 115 met zoomlens 38-115 mm.,Te koop pentax espio 115 met zoomlens 38-115 mm. Camera is in nieuwe staat met tasje en nieuwe batterij bieden,https://images.marktplaats.com/api/v1/listing-mp-p/images/b1/b1f81a87-65ce-4712-886f-77c055bf5f45?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220600152,50.892491807709,5.9746201675237,0.0,Ophalen,Vandaag,Ophalen,Parkstad
